Ea Name,Ea Latitude,Ea Longitude,EA Best 4G QCOV
BCACADADCCCABA,50.840635828,7.086181641,Telekom
BCACADADCCCAAB,50.840635828,7.064208984,Telefonica
BCACADADCCADCA,50.868378142,7.130126953,Telekom
BCACADADCCADAC,50.882243111,7.130126953,Telekom
BCACADADCCACDD,50.854509048,7.108154297,Vodafone
BCACADADCCACDC,50.854509048,7.086181641,Telefonica
BCACADADCCACDB,50.868378142,7.108154297,Telekom
BCACADADCCACDA,50.868378142,7.086181641,Vodafone
BCACADADCCACCD,50.854509048,7.064208984,Telefonica
BCACADADCCACCC,50.854509048,7.042236328,Vodafone
BCACADADCCACCB,50.868378142,7.064208984,Telekom
BCACADADCCACCA,50.868378142,7.042236328,Vodafone
BCACADADCCACBD,50.882243111,7.108154297,Telekom
BCACADADCCACBC,50.882243111,7.086181641,Telekom
BCACADADCCACBA,50.896103956,7.086181641,Telekom
BCACADADCCACAD,50.882243111,7.064208984,Telekom
BCACADADCCACAB,50.896103956,7.064208984,Telekom
BCACADADCCACAA,50.896103956,7.042236328,Vodafone
BCACADADCCAADC,50.909960676,7.086181641,Telefonica
BCACADADCCAADA,50.923813272,7.086181641,Telefonica
BCACADADCCAACD,50.909960676,7.064208984,Telekom
BCACADADCCAACC,50.909960676,7.042236328,Telekom
BCACADADCCAACB,50.923813272,7.064208984,Telekom
BCACADADCCAACA,50.923813272,7.042236328,Telekom
BCACADADCCAABD,50.937661745,7.108154297,Telekom
BCACADADCCAABC,50.937661745,7.086181641,Telekom
BCACADADCCAABA,50.951506094,7.086181641,Telefonica
BCACADADCCAAAD,50.937661745,7.064208984,Telefonica
BCACADADCCAAAC,50.937661745,7.042236328,Telekom
BCACADADCCAAAB,50.951506094,7.064208984,Telekom
BCACADADCCAAAA,50.951506094,7.042236328,Telekom
BCACADADCACCDC,50.965346322,7.086181641,Telekom
BCACADADCACCDA,50.979182427,7.086181641,Vodafone
BCACADADCACCCD,50.965346322,7.064208984,Telefonica
BCACADADCACCCC,50.965346322,7.042236328,Telekom
BCACADADCACCCB,50.979182427,7.064208984,Telefonica
BCACADADCACCCA,50.979182427,7.042236328,Telefonica
BCACADADCACCAC,50.993014410,7.042236328,Vodafone
BCACADADCACCAA,51.006842272,7.042236328,Vodafone
BCACADACDDDBAA,50.840635828,6.954345703,Telekom
BCACADACDDDABB,50.840635828,6.932373047,Vodafone
BCACADACDDBDDD,50.854509048,7.020263672,Telefonica
BCACADACDDBDDC,50.854509048,6.998291016,Telefonica
BCACADACDDBDDB,50.868378142,7.020263672,Telefonica
BCACADACDDBDDA,50.868378142,6.998291016,Vodafone
BCACADACDDBDCD,50.854509048,6.976318359,Telekom
BCACADACDDBDCC,50.854509048,6.954345703,Telekom
BCACADACDDBDCB,50.868378142,6.976318359,Vodafone
BCACADACDDBDCA,50.868378142,6.954345703,Telefonica
BCACADACDDBDBD,50.882243111,7.020263672,Vodafone
BCACADACDDBDBC,50.882243111,6.998291016,Vodafone
BCACADACDDBDBB,50.896103956,7.020263672,Vodafone
BCACADACDDBDBA,50.896103956,6.998291016,Telefonica
BCACADACDDBDAD,50.882243111,6.976318359,Vodafone
BCACADACDDBDAC,50.882243111,6.954345703,Telekom
BCACADACDDBDAB,50.896103956,6.976318359,Telefonica
BCACADACDDBDAA,50.896103956,6.954345703,Telekom
BCACADACDDBCDD,50.854509048,6.932373047,Vodafone
BCACADACDDBCDB,50.868378142,6.932373047,Vodafone
BCACADACDDBCBD,50.882243111,6.932373047,Vodafone
BCACADACDDBCBB,50.896103956,6.932373047,Telefonica
BCACADACDDBBDD,50.909960676,7.020263672,Telekom
BCACADACDDBBDC,50.909960676,6.998291016,Telefonica
BCACADACDDBBDB,50.923813272,7.020263672,Vodafone
BCACADACDDBBDA,50.923813272,6.998291016,Vodafone
BCACADACDDBBCD,50.909960676,6.976318359,Vodafone
BCACADACDDBBCC,50.909960676,6.954345703,Vodafone
BCACADACDDBBCB,50.923813272,6.976318359,Vodafone
BCACADACDDBBCA,50.923813272,6.954345703,Vodafone
BCACADACDDBBBD,50.937661745,7.020263672,Telekom
BCACADACDDBBBC,50.937661745,6.998291016,Vodafone
BCACADACDDBBBB,50.951506094,7.020263672,Telekom
BCACADACDDBBBA,50.951506094,6.998291016,Telekom
BCACADACDDBBAD,50.937661745,6.976318359,Vodafone
BCACADACDDBBAC,50.937661745,6.954345703,Telekom
BCACADACDDBBAB,50.951506094,6.976318359,Vodafone
BCACADACDDBBAA,50.951506094,6.954345703,Vodafone
BCACADACDDBADD,50.909960676,6.932373047,Vodafone
BCACADACDDBADC,50.909960676,6.910400391,Vodafone
BCACADACDDBADB,50.923813272,6.932373047,Vodafone
BCACADACDDBADA,50.923813272,6.910400391,Telekom
BCACADACDDBACD,50.909960676,6.888427734,Telekom
BCACADACDDBACC,50.909960676,6.866455078,Telekom
BCACADACDDBACB,50.923813272,6.888427734,Vodafone
BCACADACDDBACA,50.923813272,6.866455078,Vodafone
BCACADACDDBABD,50.937661745,6.932373047,Vodafone
BCACADACDDBABC,50.937661745,6.910400391,Vodafone
BCACADACDDBABB,50.951506094,6.932373047,Vodafone
BCACADACDDBABA,50.951506094,6.910400391,Telekom
BCACADACDDBAAD,50.937661745,6.888427734,Vodafone
BCACADACDDBAAC,50.937661745,6.866455078,Vodafone
BCACADACDDBAAB,50.951506094,6.888427734,Telefonica
BCACADACDDBAAA,50.951506094,6.866455078,Telefonica
BCACADACDDABDB,50.923813272,6.844482422,Vodafone
BCACADACDDABBD,50.937661745,6.844482422,Telekom
BCACADACDDABBC,50.937661745,6.822509766,Vodafone
BCACADACDDABBB,50.951506094,6.844482422,Telefonica
BCACADACDDABBA,50.951506094,6.822509766,Vodafone
BCACADACDBDDDD,50.965346322,7.020263672,Vodafone
BCACADACDBDDDC,50.965346322,6.998291016,Vodafone
BCACADACDBDDDB,50.979182427,7.020263672,Telekom
BCACADACDBDDDA,50.979182427,6.998291016,Vodafone
BCACADACDBDDCD,50.965346322,6.976318359,Telekom
BCACADACDBDDCC,50.965346322,6.954345703,Vodafone
BCACADACDBDDCB,50.979182427,6.976318359,Telefonica
BCACADACDBDDCA,50.979182427,6.954345703,Telefonica
BCACADACDBDDBD,50.993014410,7.020263672,Telekom
BCACADACDBDDBC,50.993014410,6.998291016,Telekom
BCACADACDBDDBB,51.006842272,7.020263672,Telekom
BCACADACDBDDBA,51.006842272,6.998291016,Telekom
BCACADACDBDDAD,50.993014410,6.976318359,Vodafone
BCACADACDBDDAC,50.993014410,6.954345703,Telefonica
BCACADACDBDDAB,51.006842272,6.976318359,Telekom
BCACADACDBDDAA,51.006842272,6.954345703,Vodafone
BCACADACDBDCDD,50.965346322,6.932373047,Telekom
BCACADACDBDCDC,50.965346322,6.910400391,Vodafone
BCACADACDBDCDB,50.979182427,6.932373047,Vodafone
BCACADACDBDCDA,50.979182427,6.910400391,Vodafone
BCACADACDBDCCD,50.965346322,6.888427734,Telefonica
BCACADACDBDCCC,50.965346322,6.866455078,Telefonica
BCACADACDBDCCB,50.979182427,6.888427734,Telekom
BCACADACDBDCCA,50.979182427,6.866455078,Vodafone
BCACADACDBDCBD,50.993014410,6.932373047,Telekom
BCACADACDBDCBC,50.993014410,6.910400391,Vodafone
BCACADACDBDCBB,51.006842272,6.932373047,Vodafone
BCACADACDBDCBA,51.006842272,6.910400391,Telefonica
BCACADACDBDCAD,50.993014410,6.888427734,Telefonica
BCACADACDBDCAC,50.993014410,6.866455078,Telekom
BCACADACDBDCAB,51.006842272,6.888427734,Telekom
BCACADACDBDCAA,51.006842272,6.866455078,Vodafone
BCACADACDBDBCC,51.020666013,6.954345703,Vodafone
BCACADACDBDBCA,51.034485633,6.954345703,Vodafone
BCACADACDBDADD,51.020666013,6.932373047,Vodafone
BCACADACDBDADC,51.020666013,6.910400391,Telekom
BCACADACDBDADB,51.034485633,6.932373047,Telekom
BCACADACDBDADA,51.034485633,6.910400391,Vodafone
BCACADACDBDACD,51.020666013,6.888427734,Telekom
BCACADACDBDACC,51.020666013,6.866455078,Telekom
BCACADACDBDACB,51.034485633,6.888427734,Telekom
BCACADACDBDABC,51.048301133,6.910400391,Telekom
BCACADACDBCDDD,50.965346322,6.844482422,Telefonica
BCACADACDBCDDC,50.965346322,6.822509766,Vodafone
BCACADACDBCDDB,50.979182427,6.844482422,Telefonica
